date,close,high,low,open,Volume,daily_return,ma_7,52w_high,52w_low
,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,,,,
2025-08-06,1415.037353515625,1434.14486387826,1408.7339490588547,1430.1067078263497,10566934,-0.010537223710829933,1461.736781529018,,
2025-08-07,1415.234375,1420.2574529025999,1392.876574581379,1408.4383894942564,9892020,0.00482519189794586,1450.9307861328125,,
2025-08-08,1401.6424560546875,1411.590144080286,1395.7329241309972,1403.5138318764698,10048009,-0.0013333504660088048,1437.4373430524554,,
2025-08-11,1406.66552734375,1411.7871937906966,1392.6796832838538,1398.4907470266712,6625368,0.0058454303930570665,1426.0685163225446,,
2025-08-12,1402.62744140625,1419.2726477892124,1399.5742071536924,1406.6655976905836,9899184,-0.0028707293979203666,1419.666538783482,,
2025-08-13,1405.0897216796875,1412.3781686321047,1400.953097311154,1403.5138705026145,10318063,0.0011227898848685126,1412.0826416015625,,
2025-08-14,1425.8714599609375,1447.835267553816,1404.6956380205245,1404.6956380205245,12902347,0.015075025056854065,1410.3097621372767,,
2025-08-18,1414.1510009765625,1442.6151494914589,1408.0444126749926,1442.6151494914589,7254561,-0.01973093692030778,1410.183140345982,,
2025-08-19,1418.2877197265625,1427.5460108318366,1411.0977408332749,1411.0977408332749,3986094,0.005095308911090612,1410.6193324497767,,
2025-08-20,1473.6402587890625,1476.3980885005715,1418.9770874002822,1418.9770874002822,10413061,0.03852294154300196,1420.9047328404017,,
2025-08-21,1473.8372802734375,1485.262351237006,1461.9197483180794,1485.262351237006,6565539,-0.007692291502611021,1430.500697544643,,
2025-08-22,1465.0714111328125,1481.6181481033814,1463.6924963469764,1475.5115598317454,5543397,-0.007075612948856496,1439.4212646484375,,
2025-08-25,1508.9989013671875,1515.7948868943363,1483.981859694785,1483.981859694785,10694531,0.016858050864279286,1454.2654331752233,,
2025-08-26,1506.53662109375,1515.2039825206518,1495.7024794249892,1500.03616013844,15994798,0.0043335361693614665,1465.789027622768,,
2025-08-28,1477.4814453125,1506.5366438633127,1475.413133190423,1506.5366438633127,5443364,-0.019286088173935522,1474.8362339564733,,
2025-08-29,1447.4412841796875,1479.254311487481,1445.5699084151588,1479.254311487481,8169075,-0.02150612444441919,1479.0010288783483,,
2025-09-01,1476.7921142578125,1480.7318023736236,1453.941851048263,1454.4343120627393,4546057,0.015372163603156765,1479.4512939453125,,
2025-09-02,1476.1025390625,1489.9900353122632,1463.8896025641538,1476.7920565936874,5218763,-0.00046690224809162585,1479.77490234375,,
2025-09-03,1456.798095703125,1479.2543652339205,1450.7900955921732,1477.3829894013984,4623483,-0.013933349609375098,1478.5930001395088,,
2025-09-04,1440.94091796875,1461.6242804276317,1438.0846200594328,1461.6242804276317,5787724,-0.01415094339622648,1468.8704310825892,,
2025-09-05,1422.8182373046875,1450.4945202945664,1411.3931666312185,1447.835279098319,5466487,-0.01727892817283164,1456.9106619698662,,
2025-09-08,1411.2947998046875,1436.0163186937275,1406.7641825159365,1429.1218644887508,3811567,-0.0124741389289714,1447.4554268973213,,
2025-09-09,1481.6181640625,1484.474341584966,1450.297597398603,1458.6694341238242,13072640,0.01573264606895692,1452.3378383091517,,
2025-09-10,1509.491455078125,1511.756823802922,1486.5428442826578,1487.330709756259,7281071,0.014899675759063464,1457.0091727120537,,
2025-09-11,1486.9366455078125,1504.4683046125388,1483.7849433052634,1500.922609577238,8003662,-0.00931824464511529,1458.5569022042412,,
2025-09-12,1502.596923828125,1519.6361218926327,1498.1647749913177,1513.8250582606502,12856963,-0.007417062078114912,1465.0995919363838,,
2025-09-15,1485.6563720703125,1504.4683582651935,1478.5648615170796,1502.5969824151846,6167414,-0.011274220927585493,1471.487513950893,,
2025-09-16,1488.5126953125,1491.1719366717366,1480.8302554728903,1485.656397411633,8923112,0.001922583112652023,1480.8724365234375,,
2025-09-17,1499.4453125,1503.680405062861,1491.1719434573272,1494.028241371192,4795698,0.0036258157502004496,1493.465366908482,,
2025-09-18,1517.370849609375,1531.5537508334592,1515.302537400178,1526.6291407021617,9331945,-0.006064531880040274,1498.5728934151787,,
2025-09-19,1516.976806640625,1527.9095369547413,1497.179898612735,1521.3104874589542,12988129,-0.0028486498016376226,1499.6422293526787,,
2025-09-22,1476.8905029296875,1491.8612688721596,1459.6543683506482,1460.3437656419162,15655204,0.011330713820316085,1498.207066127232,,
2025-09-23,1474.920654296875,1490.186944875574,1470.4885054191882,1470.4885054191882,9832164,0.003014065639651738,1494.2533133370537,,
2025-09-24,1472.0643310546875,1474.1326431158677,1460.3437357350242,1464.7758845360097,4937004,0.004975810016824881,1492.3115931919642,,
2025-09-25,1462.4122314453125,1480.04223903444,1454.2373307659764,1466.5488557470633,9491867,-0.002820652230943623,1488.5829554966517,,
2025-09-26,1427.053466796875,1456.404069373631,1419.4694954878144,1452.7599061754568,8597058,-0.017694898702330427,1478.2412632533483,,
2025-09-29,1420.060546875,1442.9106885263222,1414.8404123331482,1437.9860786678707,10513117,-0.012465719980736317,1464.3397914341517,,
